Sucursal,Producto,Cantidad,Precio_Unitario,Monto_Total,Fecha_Hora
Sucursal A,Atún,2.0,2429.44,4858.88,2023-01-03 22:58:19
Sucursal D,Fideos,2.0,651.99,1303.98,2023-01-07 05:28:12
Sucursal A,Atún,5.0,2065.27,10326.35,2023-01-09 18:15:39
Sucursal C,Pan,4.0,2144.66,8578.64,2023-01-03 21:28:51
Sucursal D,Galletas,2.0,1370.97,2741.94,2023-01-13 23:56:22
Sucursal D,Fideos,4.0,2151.47,8605.88,2023-01-15 17:08:29
Sucursal A,Arroz,4.0,987.73,3950.92,2023-01-12 14:42:44
Sucursal D,Atún,3.0,863.68,2591-04-01 00:00:00,2023-01-06 11:34:07
Sucursal C,Aceite,1.0,1533.25,1533.25,2023-01-05 23:17:54
Sucursal B,Galletas,,1791.81,7167.24,2023-01-13 05:55:26
Sucursal D,Galletas,2.0,1112.41,2224.82,2023-01-15 10:46:50
Sucursal C,Arroz,4.0,1041.83,4167.32,2023-01-07 10:27:11
Sucursal B,Leche,2.0,1977.21,3954.42,2023-01-08 01:04:21
Sucursal C,Pan,,1092.49,2184.98,2023-01-10 02:13:42
Sucursal C,Pan,1.0,1606.72,1606.72,2023-01-04 09:33:47
Sucursal A,Aceite,3.0,1438.79,4316.37,2023-01-12 00:35:30
Sucursal D,Pan,1.0,1301.41,1301.41,2023-01-03 03:09:21
Sucursal C,Pan,2.0,736.9,1473.8,2023-01-11 10:26:20
Sucursal D,Fideos,4.0,1094.71,4378.84,2023-01-15 14:50:26
Sucursal A,Atún,2.0,1751.03,3502-06-01 00:00:00,2023-01-07 18:10:03
Sucursal A,Leche,1.0,1317.04,1317.04,2023-01-15 17:55:12
Sucursal C,Galletas,4.0,642.36,2569.44,2023-01-06 23:58:45
Sucursal B,Fideos,1.0,1589.12,1589.12,2023-01-04 22:47:33
Sucursal B,Atún,3.0,1690.09,5070.27,2023-01-15 03:35:13
Sucursal C,Galletas,4.0,2385.35,9541-04-01 00:00:00,2023-01-13 11:32:46
Sucursal D,Galletas,3.0,1707.43,5122.29,2023-01-01 23:04:02
Sucursal A,Atún,3.0,1652.49,4957.47,2023-01-05 14:03:21
Sucursal B,Aceite,4.0,1769.57,7078.28,2023-01-13 06:27:03
Sucursal C,Galletas,1.0,2215.47,2215.47,2023-01-09 08:07:28
Sucursal D,Atún,5.0,573.39,2866.95,2023-01-03 11:17:54
Sucursal D,Atún,5.0,2149.85,10749.25,2023-01-01 08:40:13
Sucursal B,Aceite,3.0,1745.27,5235.81,2023-01-13 10:23:35
Sucursal B,Arroz,4.0,2261.69,9046.76,2023-01-13 02:21:54
Sucursal B,Galletas,2.0,1121.5,2243.0,2023-01-01 15:57:57
Sucursal A,Fideos,1.0,1795.42,1795.42,2023-01-05 01:41:40
Sucursal C,Fideos,4.0,2460.49,9841.96,2023-01-07 05:59:00
Sucursal B,Atún,1.0,1052.49,1052.49,2023-01-11 09:43:17
Sucursal A,Arroz,3.0,2174.95,6524.85,2023-01-15 09:49:47
Sucursal D,Arroz,3.0,1603.83,4811.49,2023-01-14 12:34:15
Sucursal B,,4.0,967.12,3868.48,2023-01-11 07:17:37
Sucursal D,Fideos,2.0,1490.66,2981.32,2023-01-02 05:33:55
Sucursal A,,4.0,699.42,2797.68,2023-01-12 10:10:47
Sucursal B,Pan,4.0,2063-05-01 00:00:00,8252-02-01 00:00:00,2023-01-07 18:23:13
Sucursal C,Atún,5.0,1260.02,6300-01-01 00:00:00,2023-01-09 00:28:06
Sucursal A,Aceite,1.0,969.54,969.54,2023-01-08 07:24:37
Sucursal A,Atún,1.0,1387.36,1387.36,2023-01-08 14:27:05
Sucursal C,Arroz,3.0,1361.37,4084-11-01 00:00:00,2023-01-07 06:15:19
Sucursal B,Leche,1.0,1718.98,1718.98,2023-01-10 14:50:53
Sucursal B,Leche,,1775.81,7103.24,2023-01-12 11:43:09
Sucursal C,Galletas,5.0,815.95,4079.75,2023-01-12 01:19:34
Sucursal D,Galletas,3.0,1413.67,4241-01-01 00:00:00,2023-01-08 15:59:55
Sucursal B,Fideos,5.0,1217.92,6089-06-01 00:00:00,2023-01-08 12:21:29
Sucursal D,Arroz,1.0,1631.86,1631.86,2023-01-02 12:34:13
Sucursal C,Atún,2.0,1714.13,3428.26,2023-01-09 21:14:30
Sucursal B,Galletas,1.0,2306.81,2306.81,2023-01-02 06:57:55
Sucursal B,Pan,3.0,1153.44,3460.32,2023-01-11 10:02:53
Sucursal C,Aceite,5.0,2326.97,11634.85,2023-01-05 07:51:14
Sucursal C,Galletas,3.0,2108.47,6325.41,2023-01-12 16:49:22
Sucursal D,,5.0,1231.55,6157.75,2023-01-10 21:51:22
Sucursal C,Aceite,4.0,2144.83,8579.32,2023-01-10 08:23:56
Sucursal C,Aceite,2.0,1795.3,3590-06-01 00:00:00,2023-01-12 14:27:19
Sucursal B,Pan,1.0,1108.73,1108.73,2023-01-13 06:58:28
Sucursal D,Fideos,3.0,1840.97,5522.91,2023-01-14 10:41:05
Sucursal D,Galletas,1.0,2167.39,2167.39,2023-01-11 05:44:41
Sucursal B,Fideos,4.0,2401-11-01 00:00:00,9604.44,2023-01-10 03:16:47
Sucursal C,Pan,4.0,1051.76,4207-04-01 00:00:00,2023-01-04 07:09:47
Sucursal B,Galletas,5.0,2442.19,12210.95,2023-01-02 13:27:50
Sucursal B,Pan,5.0,914.31,4571.55,2023-01-06 13:48:02
Sucursal A,Arroz,2.0,2475-05-01 00:00:00,4950-01-01 00:00:00,2023-01-14 10:41:53
Sucursal A,Leche,,1216.48,1216.48,2023-01-07 02:36:18
Sucursal B,Galletas,4.0,1552.17,6208.68,2023-01-02 21:01:30
Sucursal A,Fideos,5.0,943.1,4715-05-01 00:00:00,2023-01-02 09:15:43
Sucursal C,Fideos,1.0,621.65,621.65,2023-01-12 23:01:37
Sucursal D,Pan,1.0,1144.22,1144.22,2023-01-04 22:24:38
Sucursal C,Fideos,5.0,1561.11,7805.55,2023-01-12 08:18:30
Sucursal A,Atún,5.0,1941.68,9708-04-01 00:00:00,2023-01-06 13:15:36
Sucursal D,Fideos,4.0,1959.23,7836.92,2023-01-08 22:04:21
Sucursal B,Galletas,4.0,634.27,2537-08-01 00:00:00,2023-01-03 09:43:42
Sucursal B,Aceite,1.0,1672.93,1672.93,2023-01-14 23:08:52
Sucursal D,Atún,1.0,2436-08-01 00:00:00,2436-08-01 00:00:00,2023-01-15 21:45:51
Sucursal B,Galletas,4.0,948.49,3793.96,2023-01-03 23:02:30
Sucursal C,Aceite,2.0,2114.44,4228.88,2023-01-14 22:47:10
Sucursal A,Aceite,3.0,557.91,1673.73,2023-01-07 23:11:29
Sucursal A,Leche,2.0,1632.64,3265.28,2023-01-11 01:28:25
Sucursal A,Galletas,5.0,930.27,4651.35,2023-01-11 12:34:12
Sucursal C,Atún,5.0,1692.45,8462.25,2023-01-02 14:38:48
Sucursal A,Arroz,4.0,1823.88,7295.52,2023-01-13 02:55:06
Sucursal A,Arroz,4.0,721.78,2887-12-01 00:00:00,2023-01-15 17:31:32
Sucursal D,Aceite,1.0,515.37,515.37,2023-01-08 15:35:22
Sucursal C,Arroz,1.0,515.46,515.46,2023-01-11 18:52:29
Sucursal C,Pan,4.0,2223.53,8894-12-01 00:00:00,2023-01-02 08:38:34
Sucursal C,Aceite,4.0,1646.8,6587-02-01 00:00:00,2023-01-11 11:19:27
Sucursal B,Atún,5.0,1420.19,7100.95,2023-01-10 02:47:40
Sucursal D,Aceite,1.0,1291.53,1291.53,2023-01-08 20:44:52
Sucursal A,Aceite,1.0,1561.21,1561.21,2023-01-06 00:57:25
Sucursal B,Leche,1.0,792.89,792.89,2023-01-06 02:55:08
Sucursal A,Leche,4.0,1427.91,5711.64,2023-01-15 00:23:58
Sucursal C,Atún,3.0,801.91,2405.73,2023-01-02 23:46:46
Sucursal A,Arroz,5.0,648.38,3241-09-01 00:00:00,2023-01-12 12:59:04
Sucursal A,Galletas,1.0,1730.02,1730.02,2023-01-13 15:23:18
Sucursal A,Fideos,5.0,1803.67,9018.35,2023-01-09 03:18:10
Sucursal D,Pan,3.0,2464.77,7394.31,2023-01-03 09:07:31
Sucursal D,Fideos,5.0,1545.5,7727-05-01 00:00:00,2023-01-05 04:28:34
Sucursal C,Galletas,5.0,604.73,3023.65,2023-01-09 10:56:50
Sucursal C,Arroz,5.0,2246.56,11232.8,2023-01-09 10:11:50
Sucursal C,Galletas,4.0,757.9,3031-06-01 00:00:00,2023-01-03 09:21:08
Sucursal B,Galletas,,686.91,3434.55,2023-01-11 14:39:07
Sucursal B,Arroz,4.0,884.01,3536-04-01 00:00:00,2023-01-04 16:08:15
Sucursal A,Galletas,3.0,2252.79,6758.37,2023-01-04 12:20:29
Sucursal B,Galletas,4.0,587.38,2349.52,2023-01-10 04:13:11
Sucursal C,Atún,4.0,968.01,3872-04-01 00:00:00,2023-01-07 03:19:32
Sucursal B,Arroz,5.0,2468.88,12344.4,2023-01-12 12:56:53
Sucursal D,Leche,2.0,2102.52,4205-04-01 00:00:00,2023-01-04 16:37:22
Sucursal C,Aceite,1.0,1922-08-01 00:00:00,1922-08-01 00:00:00,2023-01-13 20:32:20
Sucursal C,Fideos,5.0,794.7,3973-05-01 00:00:00,2023-01-11 22:50:46
Sucursal C,Pan,4.0,606.51,2426-04-01 00:00:00,2023-01-13 12:26:25
Sucursal B,Pan,3.0,2361.65,7084.95,2023-01-09 11:19:14
Sucursal D,Galletas,,2017.68,4035.36,2023-01-12 17:16:35
Sucursal C,Leche,2.0,1597.61,3195.22,2023-01-14 03:26:57
Sucursal A,Pan,2.0,1339.65,2679-03-01 00:00:00,2023-01-12 10:17:16
Sucursal A,Galletas,,1650.09,8250.45,2023-01-04 19:38:22
Sucursal D,Leche,1.0,1546.97,1546.97,2023-01-10 02:04:00
Sucursal A,Fideos,4.0,587.07,2348.28,invalid-date
Sucursal A,Arroz,2.0,1965.88,3931.76,2023-01-03 20:23:18
Sucursal A,Arroz,5.0,1177.09,5885.45,2023-01-05 13:59:48
Sucursal D,Galletas,2.0,2123.0,4246.0,2023-01-02 20:45:31
